,ncm_ind,ncm_cordi,pore,pore_ind
0,0,"[[[8, 1159]], [[8, 1160]], [[8, 1161]], [[7, 1162]], [[7, 1163]], [[7, 1164]], [[7, 1165]], [[6, 1166]], [[6, 1167]], [[6, 1168]], [[6, 1169]], [[7, 1170]], [[8, 1170]], [[9, 1170]], [[10, 1170]], [[11, 1170]], [[12, 1169]], [[12, 1168]], [[12, 1167]], [[13, 1166]], [[14, 1166]], [[15, 1165]], [[15, 1164]], [[15, 1163]], [[14, 1163]], [[13, 1164]], [[12, 1163]], [[11, 1163]], [[10, 1163]], [[9, 1162]], [[9, 1161]], [[8, 1160]]]",[[]],[]
1,1,"[[[167, 1156]], [[166, 1157]], [[165, 1157]], [[164, 1158]], [[163, 1158]], [[162, 1158]], [[161, 1158]], [[160, 1158]], [[159, 1158]], [[158, 1158]], [[157, 1159]], [[156, 1160]], [[155, 1159]], [[154, 1160]], [[153, 1160]], [[152, 1159]], [[152, 1160]], [[152, 1161]], [[151, 1162]], [[151, 1163]], [[152, 1163]], [[153, 1164]], [[153, 1165]], [[153, 1166]], [[152, 1167]], [[152, 1168]], [[152, 1169]], [[152, 1170]], [[152, 1171]], [[153, 1172]], [[154, 1172]], [[155, 1173]], [[156, 1174]], [[156, 1175]], [[157, 1175]], [[158, 1175]], [[159, 1175]], [[160, 1175]], [[161, 1174]], [[162, 1173]], [[163, 1172]], [[163, 1171]], [[162, 1170]], [[163, 1169]], [[164, 1168]], [[165, 1169]], [[165, 1170]], [[166, 1170]], [[167, 1169]], [[168, 1169]], [[169, 1168]], [[170, 1167]], [[171, 1166]], [[171, 1165]], [[170, 1164]], [[170, 1163]], [[170, 1162]], [[170, 1161]], [[170, 1160]], [[169, 1159]], [[168, 1158]], [[168, 1157]], [[168, 1156]]]","[[[[163, 1140], [163, 1141], [164, 1142], [164, 1143], [165, 1144], [165, 1145], [165, 1146], [165, 1147], [165, 1148], [164, 1149], [164, 1150], [163, 1151], [164, 1152], [164, 1153], [163, 1154], [162, 1154], [161, 1153], [160, 1154], [161, 1154], [162, 1154], [163, 1155], [163, 1156], [163, 1157], [164, 1157], [165, 1156], [166, 1156], [167, 1155], [168, 1155], [167, 1155], [166, 1154], [165, 1153], [165, 1152], [166, 1151], [166, 1150], [166, 1149], [166, 1148], [166, 1147], [165, 1146], [166, 1145], [167, 1144], [168, 1144], [167, 1143], [166, 1143], [165, 1142], [165, 1141], [164, 1140]]], [], [[[149, 1156], [149, 1157], [149, 1158], [148, 1159], [147, 1159], [146, 1160], [146, 1161], [146, 1162], [145, 1163], [144, 1164], [144, 1165], [145, 1165], [146, 1165], [146, 1164], [146, 1163], [147, 1162], [148, 1162], [149, 1163], [149, 1164], [148, 1165], [149, 1165], [150, 1166], [151, 1166], [152, 1166], [152, 1165], [152, 1164], [151, 1164], [150, 1165], [149, 1164], [149, 1163], [150, 1162], [151, 1161], [151, 1160], [151, 1159], [151, 1158], [150, 1157], [150, 1156]]]]","[0, [], 1]"
2,2,"[[[241, 1144]], [[241, 1145]], [[240, 1146]], [[240, 1147]], [[241, 1148]], [[242, 1148]], [[243, 1149]], [[243, 1150]], [[243, 1151]], [[243, 1152]], [[243, 1153]], [[243, 1154]], [[244, 1155]], [[244, 1156]], [[244, 1157]], [[243, 1158]], [[243, 1159]], [[243, 1160]], [[243, 1161]], [[244, 1162]], [[244, 1163]], [[244, 1162]], [[244, 1161]], [[245, 1160]], [[246, 1161]], [[247, 1160]], [[248, 1160]], [[249, 1160]], [[250, 1160]], [[251, 1159]], [[252, 1159]], [[253, 1158]], [[254, 1158]], [[254, 1157]], [[253, 1156]], [[254, 1155]], [[254, 1154]], [[254, 1153]], [[255, 1152]], [[255, 1151]], [[255, 1150]], [[254, 1149]], [[253, 1149]], [[252, 1148]], [[251, 1149]], [[250, 1149]], [[250, 1150]], [[250, 1151]], [[249, 1152]], [[248, 1151]], [[248, 1150]], [[248, 1149]], [[247, 1148]], [[246, 1147]], [[246, 1146]], [[245, 1145]], [[244, 1144]], [[243, 1145]], [[242, 1146]], [[241, 1145]]]","[[], [[[259, 1145], [259, 1146], [259, 1147], [259, 1148], [259, 1149], [258, 1150], [257, 1150], [256, 1151], [256, 1152], [256, 1153], [255, 1154], [255, 1155], [254, 1156], [255, 1157], [255, 1158], [255, 1159], [256, 1159], [257, 1159], [258, 1159], [259, 1159], [258, 1158], [258, 1157], [257, 1156], [256, 1155], [256, 1154], [257, 1153], [258, 1153], [259, 1152], [259, 1151], [260, 1150], [261, 1149], [261, 1148], [261, 1147], [261, 1146], [261, 1145], [260, 1145]]]]","[[], 2]"
3,3,"[[[19, 1143]], [[19, 1144]], [[18, 1145]], [[17, 1145]], [[17, 1146]], [[17, 1147]], [[16, 1148]], [[16, 1149]], [[16, 1150]], [[15, 1151]], [[15, 1152]], [[15, 1153]], [[15, 1154]], [[15, 1155]], [[16, 1155]], [[17, 1156]], [[18, 1156]], [[19, 1155]], [[20, 1155]], [[21, 1154]], [[22, 1153]], [[22, 1152]], [[23, 1151]], [[23, 1150]], [[23, 1149]], [[24, 1148]], [[24, 1147]], [[24, 1146]], [[23, 1145]], [[22, 1144]], [[21, 1144]], [[20, 1143]]]",[[]],[]
4,4,"[[[503, 1137]], [[503, 1138]], [[503, 1139]], [[503, 1140]], [[503, 1141]], [[503, 1142]], [[502, 1143]], [[502, 1144]], [[501, 1145]], [[500, 1145]], [[499, 1145]], [[498, 1146]], [[497, 1147]], [[496, 1147]], [[496, 1148]], [[496, 1149]], [[496, 1150]], [[497, 1151]], [[498, 1151]], [[499, 1152]], [[498, 1153]], [[497, 1153]], [[497, 1154]], [[496, 1155]], [[495, 1154]], [[494, 1154]], [[493, 1154]], [[492, 1154]], [[491, 1154]], [[490, 1155]], [[489, 1156]], [[488, 1156]], [[487, 1157]], [[486, 1157]], [[485, 1158]], [[484, 1158]], [[483, 1159]], [[483, 1160]], [[483, 1161]], [[483, 1162]], [[482, 1163]], [[482, 1164]], [[482, 1165]], [[482, 1166]], [[481, 1167]], [[481, 1168]], [[481, 1169]], [[481, 1170]], [[481, 1171]], [[482, 1172]], [[483, 1173]], [[484, 1173]], [[485, 1173]], [[486, 1173]], [[487, 1173]], [[488, 1173]], [[489, 1173]], [[490, 1173]], [[491, 1173]], [[492, 1173]], [[493, 1173]], [[494, 1172]], [[495, 1172]], [[496, 1172]], [[497, 1172]], [[498, 1171]], [[499, 1171]], [[500, 1170]], [[501, 1171]], [[502, 1172]], [[503, 1172]], [[504, 1172]], [[505, 1173]], [[506, 1172]], [[507, 1172]], [[508, 1172]], [[509, 1171]], [[510, 1170]], [[511, 1170]], [[512, 1169]], [[513, 1168]], [[513, 1167]], [[514, 1166]], [[514, 1165]], [[515, 1164]], [[515, 1163]], [[515, 1162]], [[515, 1161]], [[515, 1160]], [[515, 1159]], [[515, 1158]], [[514, 1157]], [[514, 1156]], [[513, 1155]], [[512, 1154]], [[513, 1153]], [[514, 1152]], [[514, 1151]], [[514, 1150]], [[514, 1149]], [[514, 1148]], [[514, 1147]], [[514, 1146]], [[514, 1145]], [[514, 1144]], [[514, 1143]], [[515, 1142]], [[515, 1141]], [[515, 1140]], [[515, 1139]], [[514, 1138]], [[513, 1138]], [[512, 1138]], [[511, 1137]], [[510, 1137]], [[509, 1137]], [[508, 1137]], [[507, 1137]], [[506, 1137]], [[505, 1137]], [[504, 1137]]]","[[], [[[486, 1136], [485, 1137], [486, 1138], [486, 1139], [486, 1140], [487, 1141], [487, 1142], [488, 1143], [488, 1144], [488, 1145], [489, 1146], [489, 1147], [489, 1148], [489, 1149], [489, 1150], [489, 1151], [489, 1152], [489, 1153], [488, 1154], [487, 1155], [486, 1155], [485, 1156], [484, 1156], [483, 1156], [482, 1156], [482, 1157], [483, 1158], [484, 1157], [485, 1157], [486, 1156], [487, 1156], [488, 1155], [489, 1155], [490, 1154], [490, 1153], [490, 1152], [489, 1151], [490, 1150], [490, 1149], [490, 1148], [490, 1147], [490, 1146], [490, 1145], [490, 1144], [490, 1143], [490, 1142], [490, 1141], [489, 1140], [488, 1139], [487, 1138], [487, 1137]]], [[[479, 1168], [479, 1169], [479, 1170], [479, 1171], [479, 1172], [480, 1173], [481, 1174], [482, 1174], [483, 1175], [483, 1176], [484, 1177], [485, 1178], [484, 1179], [483, 1180], [482, 1181], [481, 1182], [480, 1183], [480, 1184], [480, 1185], [481, 1186], [482, 1187], [482, 1188], [482, 1189], [481, 1190], [481, 1191], [481, 1190], [482, 1189], [483, 1188], [484, 1188], [485, 1188], [486, 1189], [486, 1190], [487, 1191], [488, 1192], [488, 1193], [487, 1194], [486, 1194], [485, 1194], [484, 1193], [484, 1194], [484, 1195], [484, 1196], [485, 1196], [486, 1197], [486, 1198], [487, 1199], [488, 1199], [488, 1198], [487, 1198], [486, 1197], [487, 1196], [487, 1195], [488, 1194], [489, 1194], [489, 1193], [490, 1192], [490, 1191], [489, 1191], [488, 1190], [487, 1189], [487, 1188], [486, 1187], [486, 1186], [486, 1185], [485, 1185], [484, 1184], [483, 1183], [483, 1182], [484, 1181], [485, 1180], [486, 1179], [487, 1179], [488, 1178], [487, 1177], [486, 1176], [485, 1175], [484, 1175], [483, 1174], [482, 1173], [481, 1172], [480, 1171], [480, 1170], [480, 1169], [480, 1168]]]]","[[], 3, 4]"
5,5,"[[[717, 1122]], [[716, 1123]], [[715, 1123]], [[715, 1124]], [[714, 1125]], [[713, 1126]], [[713, 1127]], [[713, 1128]], [[713, 1129]], [[713, 1130]], [[713, 1131]], [[713, 1132]], [[713, 1133]], [[713, 1134]], [[714, 1135]], [[714, 1136]], [[715, 1136]], [[716, 1136]], [[717, 1136]], [[718, 1136]], [[719, 1136]], [[719, 1135]], [[720, 1134]], [[720, 1133]], [[721, 1132]], [[722, 1131]], [[722, 1130]], [[723, 1129]], [[723, 1128]], [[724, 1127]], [[724, 1126]], [[723, 1125]], [[722, 1124]], [[721, 1123]], [[720, 1122]], [[719, 1122]], [[718, 1122]]]","[[[[700, 1113], [701, 1114], [702, 1115], [703, 1115], [704, 1116], [705, 1117], [705, 1118], [706, 1119], [707, 1120], [708, 1121], [709, 1120], [710, 1121], [710, 1122], [710, 1123], [710, 1124], [709, 1125], [708, 1126], [707, 1126], [706, 1125], [705, 1125], [705, 1126], [705, 1127], [706, 1127], [707, 1127], [708, 1128], [709, 1129], [710, 1130], [710, 1131], [711, 1132], [711, 1133], [711, 1134], [711, 1135], [711, 1136], [712, 1136], [713, 1137], [713, 1138], [714, 1139], [713, 1138], [713, 1137], [713, 1136], [713, 1135], [712, 1134], [712, 1133], [712, 1132], [712, 1131], [712, 1130], [712, 1129], [712, 1128], [712, 1127], [712, 1126], [713, 1125], [714, 1124], [714, 1123], [715, 1122], [716, 1122], [717, 1121], [718, 1121], [719, 1121], [720, 1121], [721, 1122], [722, 1123], [723, 1124], [724, 1125], [725, 1126], [725, 1127], [725, 1126], [725, 1125], [725, 1124], [724, 1123], [724, 1122], [723, 1121], [722, 1121], [721, 1121], [720, 1120], [719, 1120], [718, 1120], [717, 1120], [716, 1121], [715, 1121], [714, 1121], [713, 1121], [712, 1121], [711, 1121], [710, 1120], [709, 1119], [708, 1118], [708, 1117], [707, 1116], [706, 1116], [705, 1115], [704, 1115], [703, 1114], [702, 1114], [701, 1113]]], [[[734, 1136], [733, 1137], [732, 1137], [731, 1138], [730, 1138], [729, 1139], [728, 1139], [727, 1139], [726, 1140], [725, 1141], [724, 1141], [723, 1142], [722, 1142], [721, 1142], [720, 1143], [719, 1143], [718, 1143], [718, 1144], [718, 1145], [718, 1146], [717, 1147], [717, 1148], [716, 1149], [716, 1150], [715, 1151], [714, 1152], [713, 1153], [713, 1154], [712, 1155], [712, 1156], [713, 1157], [712, 1158], [712, 1159], [712, 1160], [712, 1161], [713, 1160], [713, 1159], [714, 1158], [714, 1157], [715, 1156], [715, 1155], [715, 1154], [715, 1153], [715, 1152], [716, 1151], [717, 1151], [717, 1150], [717, 1149], [718, 1148], [718, 1147], [718, 1146], [719, 1145], [720, 1144], [721, 1144], [722, 1143], [723, 1143], [724, 1143], [725, 1142], [726, 1142], [727, 1141], [728, 1140], [729, 1140], [730, 1139], [731, 1139], [732, 1138], [733, 1138], [734, 1138], [735, 1137], [736, 1137], [737, 1137], [736, 1137], [735, 1137]], [[700, 1113], [701, 1114], [702, 1115], [703, 1115], [704, 1116], [705, 1117], [705, 1118], [706, 1119], [707, 1120], [708, 1121], [709, 1120], [710, 1121], [710, 1122], [710, 1123], [710, 1124], [709, 1125], [708, 1126], [707, 1126], [706, 1125], [705, 1125], [705, 1126], [705, 1127], [706, 1127], [707, 1127], [708, 1128], [709, 1129], [710, 1130], [710, 1131], [711, 1132], [711, 1133], [711, 1134], [711, 1135], [711, 1136], [712, 1136], [713, 1137], [713, 1138], [714, 1139], [713, 1138], [713, 1137], [713, 1136], [713, 1135], [712, 1134], [712, 1133], [712, 1132], [712, 1131], [712, 1130], [712, 1129], [712, 1128], [712, 1127], [712, 1126], [713, 1125], [714, 1124], [714, 1123], [715, 1122], [716, 1122], [717, 1121], [718, 1121], [719, 1121], [720, 1121], [721, 1122], [722, 1123], [723, 1124], [724, 1125], [725, 1126], [725, 1127], [725, 1126], [725, 1125], [725, 1124], [724, 1123], [724, 1122], [723, 1121], [722, 1121], [721, 1121], [720, 1120], [719, 1120], [718, 1120], [717, 1120], [716, 1121], [715, 1121], [714, 1121], [713, 1121], [712, 1121], [711, 1121], [710, 1120], [709, 1119], [708, 1118], [708, 1117], [707, 1116], [706, 1116], [705, 1115], [704, 1115], [703, 1114], [702, 1114], [701, 1113]]]]","[5, 6]"
6,6,"[[[226, 1115]], [[227, 1116]], [[227, 1117]], [[227, 1118]], [[226, 1119]], [[225, 1119]], [[224, 1119]], [[223, 1119]], [[222, 1119]], [[221, 1120]], [[220, 1121]], [[219, 1122]], [[218, 1122]], [[217, 1121]], [[217, 1120]], [[217, 1121]], [[217, 1122]], [[216, 1123]], [[216, 1124]], [[216, 1125]], [[215, 1126]], [[214, 1127]], [[214, 1128]], [[213, 1129]], [[212, 1129]], [[212, 1130]], [[212, 1131]], [[211, 1132]], [[211, 1133]], [[210, 1134]], [[210, 1135]], [[211, 1135]], [[212, 1134]], [[213, 1134]], [[214, 1134]], [[215, 1135]], [[216, 1136]], [[217, 1135]], [[218, 1135]], [[219, 1134]], [[220, 1134]], [[220, 1133]], [[221, 1132]], [[222, 1131]], [[223, 1131]], [[224, 1130]], [[224, 1129]], [[225, 1128]], [[226, 1128]], [[227, 1127]], [[228, 1127]], [[228, 1126]], [[229, 1125]], [[230, 1124]], [[230, 1123]], [[229, 1122]], [[228, 1122]], [[227, 1121]], [[228, 1120]], [[228, 1119]], [[227, 1118]], [[227, 1117]], [[227, 1116]]]","[[[[229, 1107], [229, 1108], [228, 1109], [227, 1110], [226, 1111], [225, 1111], [224, 1110], [223, 1110], [222, 1110], [222, 1111], [221, 1112], [220, 1112], [219, 1112], [218, 1112], [217, 1112], [216, 1111], [215, 1111], [214, 1111], [214, 1112], [215, 1113], [215, 1114], [214, 1115], [214, 1116], [214, 1117], [213, 1118], [212, 1118], [211, 1117], [210, 1117], [209, 1118], [209, 1119], [209, 1120], [210, 1120], [211, 1120], [212, 1119], [213, 1119], [214, 1120], [214, 1121], [213, 1122], [212, 1122], [212, 1123], [212, 1124], [212, 1125], [213, 1126], [214, 1126], [215, 1125], [215, 1124], [215, 1123], [216, 1122], [216, 1121], [216, 1120], [217, 1119], [218, 1118], [219, 1117], [218, 1117], [217, 1116], [218, 1115], [219, 1115], [220, 1115], [221, 1115], [222, 1115], [223, 1115], [224, 1116], [223, 1117], [223, 1118], [224, 1118], [225, 1118], [226, 1118], [226, 1117], [226, 1116], [225, 1115], [225, 1114], [225, 1113], [226, 1112], [227, 1112], [228, 1112], [229, 1112], [230, 1113], [231, 1114], [230, 1115], [231, 1116], [232, 1116], [233, 1115], [233, 1114], [232, 1113], [231, 1113], [230, 1113], [229, 1112], [229, 1111], [230, 1110], [229, 1109], [229, 1108]]], [], [[[212, 1135], [211, 1136], [210, 1137], [209, 1136], [208, 1137], [207, 1137], [206, 1136], [205, 1137], [204, 1138], [205, 1139], [206, 1139], [207, 1139], [208, 1138], [209, 1138], [210, 1138], [211, 1138], [212, 1138], [213, 1138], [214, 1138], [215, 1139], [216, 1139], [217, 1139], [218, 1139], [218, 1138], [217, 1138], [216, 1137], [215, 1136], [214, 1135], [213, 1135]]]]","[7, [], 8]"
7,7,"[[[241, 1097]], [[240, 1098]], [[239, 1098]], [[238, 1098]], [[237, 1099]], [[237, 1100]], [[236, 1101]], [[236, 1102]], [[236, 1103]], [[235, 1104]], [[235, 1105]], [[235, 1106]], [[235, 1107]], [[236, 1108]], [[236, 1109]], [[236, 1110]], [[236, 1111]], [[236, 1112]], [[235, 1113]], [[234, 1113]], [[234, 1114]], [[234, 1115]], [[233, 1116]], [[232, 1117]], [[231, 1117]], [[230, 1116]], [[229, 1115]], [[229, 1116]], [[229, 1117]], [[230, 1116]], [[231, 1117]], [[232, 1117]], [[233, 1118]], [[233, 1119]], [[234, 1120]], [[235, 1120]], [[236, 1119]], [[237, 1119]], [[236, 1118]], [[236, 1117]], [[237, 1116]], [[238, 1115]], [[239, 1116]], [[240, 1116]], [[241, 1116]], [[242, 1116]], [[243, 1116]], [[244, 1116]], [[245, 1116]], [[246, 1116]], [[247, 1115]], [[248, 1114]], [[249, 1113]], [[249, 1112]], [[250, 1111]], [[250, 1110]], [[251, 1109]], [[251, 1108]], [[252, 1107]], [[253, 1107]], [[253, 1106]], [[253, 1105]], [[253, 1104]], [[253, 1103]], [[252, 1103]], [[251, 1102]], [[250, 1102]], [[249, 1101]], [[248, 1100]], [[247, 1099]], [[246, 1099]], [[245, 1098]], [[244, 1097]], [[243, 1097]], [[242, 1097]]]","[[], [[[229, 1107], [229, 1108], [228, 1109], [227, 1110], [226, 1111], [225, 1111], [224, 1110], [223, 1110], [222, 1110], [222, 1111], [221, 1112], [220, 1112], [219, 1112], [218, 1112], [217, 1112], [216, 1111], [215, 1111], [214, 1111], [214, 1112], [215, 1113], [215, 1114], [214, 1115], [214, 1116], [214, 1117], [213, 1118], [212, 1118], [211, 1117], [210, 1117], [209, 1118], [209, 1119], [209, 1120], [210, 1120], [211, 1120], [212, 1119], [213, 1119], [214, 1120], [214, 1121], [213, 1122], [212, 1122], [212, 1123], [212, 1124], [212, 1125], [213, 1126], [214, 1126], [215, 1125], [215, 1124], [215, 1123], [216, 1122], [216, 1121], [216, 1120], [217, 1119], [218, 1118], [219, 1117], [218, 1117], [217, 1116], [218, 1115], [219, 1115], [220, 1115], [221, 1115], [222, 1115], [223, 1115], [224, 1116], [223, 1117], [223, 1118], [224, 1118], [225, 1118], [226, 1118], [226, 1117], [226, 1116], [225, 1115], [225, 1114], [225, 1113], [226, 1112], [227, 1112], [228, 1112], [229, 1112], [230, 1113], [231, 1114], [230, 1115], [231, 1116], [232, 1116], [233, 1115], [233, 1114], [232, 1113], [231, 1113], [230, 1113], [229, 1112], [229, 1111], [230, 1110], [229, 1109], [229, 1108]]], [[[250, 1064], [249, 1065], [248, 1066], [247, 1067], [248, 1068], [248, 1069], [248, 1070], [247, 1071], [246, 1071], [246, 1072], [247, 1073], [247, 1074], [247, 1075], [247, 1076], [247, 1077], [247, 1078], [247, 1079], [247, 1080], [246, 1081], [245, 1082], [244, 1082], [244, 1083], [245, 1084], [246, 1085], [246, 1086], [246, 1087], [247, 1087], [248, 1088], [248, 1089], [249, 1090], [250, 1091], [250, 1092], [250, 1093], [250, 1094], [250, 1095], [251, 1096], [251, 1097], [251, 1098], [251, 1099], [251, 1100], [251, 1101], [252, 1102], [253, 1102], [254, 1102], [255, 1103], [255, 1104], [254, 1105], [255, 1106], [255, 1107], [256, 1106], [257, 1105], [258, 1105], [258, 1104], [257, 1103], [257, 1102], [257, 1101], [256, 1100], [255, 1100], [254, 1099], [253, 1098], [252, 1097], [251, 1096], [251, 1095], [251, 1094], [251, 1093], [250, 1092], [250, 1091], [250, 1090], [249, 1089], [248, 1088], [248, 1087], [248, 1086], [247, 1085], [247, 1084], [247, 1083], [247, 1082], [248, 1081], [249, 1080], [249, 1079], [250, 1078], [250, 1077], [250, 1076], [250, 1075], [250, 1074], [249, 1073], [249, 1072], [249, 1071], [248, 1070], [248, 1069], [249, 1068], [249, 1067], [250, 1066], [250, 1065]]]]","[[], 7, 10]"
8,8,"[[[136, 1081]], [[135, 1082]], [[135, 1083]], [[135, 1084]], [[135, 1085]], [[135, 1086]], [[134, 1087]], [[134, 1088]], [[134, 1089]], [[134, 1090]], [[134, 1091]], [[134, 1092]], [[134, 1093]], [[134, 1094]], [[133, 1095]], [[132, 1096]], [[132, 1097]], [[133, 1097]], [[134, 1098]], [[135, 1098]], [[136, 1098]], [[137, 1097]], [[137, 1096]], [[138, 1095]], [[138, 1094]], [[139, 1093]], [[139, 1092]], [[140, 1091]], [[141, 1090]], [[141, 1089]], [[141, 1088]], [[141, 1087]], [[140, 1086]], [[140, 1085]], [[140, 1084]], [[139, 1083]], [[139, 1082]], [[138, 1082]], [[137, 1082]]]",[[]],[]
9,9,"[[[808, 1074]], [[807, 1075]], [[806, 1075]], [[805, 1076]], [[804, 1077]], [[803, 1078]], [[802, 1078]], [[801, 1078]], [[800, 1078]], [[799, 1078]], [[798, 1078]], [[797, 1078]], [[796, 1079]], [[795, 1078]], [[795, 1077]], [[795, 1076]], [[794, 1077]], [[794, 1078]], [[794, 1079]], [[793, 1080]], [[792, 1080]], [[792, 1081]], [[791, 1082]], [[790, 1082]], [[789, 1083]], [[788, 1083]], [[787, 1084]], [[786, 1085]], [[786, 1086]], [[786, 1087]], [[786, 1088]], [[786, 1089]], [[787, 1089]], [[788, 1089]], [[789, 1090]], [[790, 1090]], [[791, 1090]], [[792, 1090]], [[793, 1089]], [[794, 1089]], [[795, 1089]], [[796, 1088]], [[797, 1088]], [[798, 1087]], [[799, 1087]], [[800, 1087]], [[801, 1087]], [[802, 1087]], [[803, 1086]], [[804, 1086]], [[805, 1085]], [[806, 1085]], [[807, 1084]], [[808, 1084]], [[809, 1084]], [[810, 1084]], [[811, 1084]], [[812, 1084]], [[813, 1084]], [[814, 1084]], [[815, 1085]], [[815, 1086]], [[816, 1087]], [[817, 1088]], [[818, 1088]], [[819, 1087]], [[819, 1086]], [[819, 1085]], [[819, 1084]], [[818, 1083]], [[817, 1082]], [[817, 1081]], [[816, 1080]], [[816, 1079]], [[815, 1079]], [[814, 1079]], [[813, 1079]], [[812, 1078]], [[812, 1077]], [[811, 1076]], [[810, 1075]], [[810, 1074]], [[809, 1075]]]","[[], [[[821, 1083], [821, 1084], [821, 1085], [821, 1086], [821, 1087], [820, 1088], [820, 1089], [820, 1090], [820, 1091], [820, 1092], [820, 1093], [820, 1094], [821, 1094], [822, 1093], [823, 1093], [824, 1093], [825, 1092], [826, 1091], [827, 1090], [828, 1090], [829, 1090], [830, 1089], [831, 1089], [832, 1088], [831, 1087], [830, 1086], [830, 1087], [830, 1088], [829, 1089], [828, 1090], [827, 1090], [826, 1090], [825, 1091], [824, 1090], [823, 1090], [822, 1090], [821, 1089], [822, 1088], [823, 1087], [824, 1087], [824, 1086], [824, 1085], [823, 1084], [822, 1083]]]]","[[], 11]"
